,Original Review,Opinion Words,Maximum scored Opinion Words,Final Opnion Words,Average,Reviewer Rating,Calculated rating
17,"Surprisingly, this inexpensive veryersion works just as well and just as reliably as the expensive veryariety. It has been working for me for months now. No problem. Excellent veryalue.","[('well', 0.0), ('excellent', 1.0), ('reliable', 0.0), ('expensive', -0.5), ('veryalue', 0.0)]","[('excellent', 1.0)]","[('excellent', 1.0), ('expensive', -0.5)]",[0.16666666666666666],Positive,Positive
18,"I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 70 ma.Griffin was charging with 40 ma! And the griffin was 4 times more expensive.I have not used these for veryery long. I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last. I assume they will work fine. I have not been using them much. I did the testing , just to stock up on a high current charger. This passed and I stocked up.","[('seem', 0.0), ('galaxy', 0.0), ('cheap', 0.4), ('much', 0.2), ('unit', 0.0), ('dual', 0.0), ('long', -0.05), ('bought', 0.0), ('expensive', -0.5), ('note', 0.0), ('used', 0.0), ('work', 0.0), ('output', 0.0), ('assume', 0.0), ('provide', 0.0), ('high', 0.16), ('stock', 0.0), ('fine', 0.4166666666666667), ('tested', 0.0), ('charge', 0.0), ('last', 0.0)]","[('expensive', 0.5)]","[('cheap', 0.4), ('high', 0.16), ('long', -0.05), ('fine', 0.4166666666666667), ('expensive', -0.5)]",[0.071111111111111125],Positive,Negative
19,It worked great for the first couple of weeks then it just stopped completely.. so basically a small waste of money.,"[('first', 0.25), ('small', -0.25), ('completely', 0.1), ('waste', -0.2), ('couple', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('great', 0.8), ('small', -0.25), ('first', 0.25)]",[0.20000000000000001],Negative,Positive
20,I love that it has two ports for my phone and ipod. Who wants to be putting too many things in one socket.  Sleek and convenient to store and I just love it.,"[('sleek', 0.0), ('convenient', 0.0), ('many', 0.5), ('love', 0.5)]","[('many', 0.5)]","[('many', 0.5), ('love', 0.5)]",[0.33333333333333331],Positive,Positive
21,"just what you need, I am always having to charge my phone and then find I have another item to charge also.","[('charge', 0.0), ('need', 0.0), ('find', 0.0)]","[('many', 0)]",[],[0.0],Positive,Negative
22,"does not have the need amps to charge things like ipads, or hp touchpads. but its super small and compact.","[('small', -0.25), ('like', 0.0), ('charge', 0.0), ('compact', 0.0), ('need', 0.0)]","[('small', 0.25)]","[('small', -0.25)]",[-0.125],Negative,Negative
23,"They are nothing special for sure, but it is nice that you can tell when it is powered up by the led that glows in it.  able to charge two phones at once in the car which is nice.","[('sure', 0.5), ('able', 0.5), ('tell', 0.0), ('nice', 0.6), ('charge', 0.0), ('led', 0.0)]","[('nice', 0.6)]","[('sure', 0.5), ('able', 0.5), ('nice', 0.6)]",[0.40000000000000002],Positive,Positive
24,"I have several chargers. Have more than one veryehicle so I keep more than one of these in each. Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone. That is always when you need it most.  This one works well for any of my products.","[('well', 0.0), ('way', 0.0), ('keep', 0.0), ('charge', 0.0), ('need', 0.0)]","[('nice', 0)]",[],[0.0],Positive,Negative
25,I bought this a little skeptical. After I tried it I bought two more. It works great and so far it has lasted for about 3 months. If that changes I will update this review.,"[('little', -0.1875), ('review', 0.0), ('tried', 0.0), ('bought', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('little', -0.1875), ('great', 0.8)]",[0.20416666666666669],Positive,Positive
26,I am disappointed that the 1A did not work with my iPad.  That is what I get for buying a cheap adapter.,"[('pad', 0.0), ('get', 0.0), ('cheap', 0.4), ('adapted', 0.0), ('work', 0.0), ('disappointed', -0.75)]","[('disappointed', 0.75)]","[('cheap', 0.4), ('disappointed', -0.75)]",[-0.11666666666666665],Negative,Negative
27,"This is a nice charger but you can tell it was made cheaply in China.  When it is charging the phone, the car radio gets LOTS of static.  Not so much that I have to stop charging but like when you are near power lines and the radio station is far away.So, no RF shielding.I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars.","[('made', 0.0), ('stop', 0.0), ('consider', 0.0), ('much', 0.2), ('tell', 0.0), ('nice', 0.6), ('charge', 0.0), ('like', 0.0), ('near', 0.1), ('listen', 0.0), ('fine', 0.4166666666666667), ('gave', 0.0)]","[('nice', 0.6)]","[('nice', 0.6), ('fine', 0.4166666666666667)]",[0.33888888888888885],Positive,Positive
28,After a week only one side works,"[('side', 0.0)]","[('nice', 0)]",[],[0.0],Negative,Negative
29,Yo get exactly what you order in a timely fashion. And the item is just as described. Great buy if you ask me,"[('get', 0.0), ('order', 0.0), ('buy', 0.0), ('timely', 0.0), ('great', 0.8), ('fashion', 0.0), ('ask', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
30,"This is a terribly awesome product in my Subaru is console.  Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new.","[('love', 0.5), ('emit', 0.0), ('abuse', 0.0), ('like', 0.0), ('perform', 0.0), ('glow', 0.0), ('awesome', 1.0), ('product', 0.0), ('new', 0.13636363636363635)]","[('awesome', 1.0)]","[('new', 0.13636363636363635), ('awesome', 1.0), ('love', 0.5)]",[0.40909090909090906],Positive,Positive
31,"I have bough a munch of different things like this over the years. Most would not stay in the jack, or would give out after a few days. This one is GREAT!","[('different', 0.0), ('great', 0.8), ('much', 0.2), ('like', 0.0), ('jack', 0.0), ('give', 0.0), ('stay', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
32,"Only works one side at a time. When you connect two cables, one side stop working and also overheated burning the fuses. I purchased two of them and it is the same problem. Cheap and bad quality.","[('bad', -0.6999999999999998), ('stop', 0.0), ('side', 0.0), ('cheap', 0.4), ('quality', 0.0), ('connect', 0.0), ('purchased', 0.0)]","[('bad', 0.6999999999999998)]","[('cheap', 0.4), ('bad', -0.6999999999999998)]",[-0.099999999999999936],Negative,Negative
33,it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,"[('dont', 0.0), ('finish', 0.0), ('wait', 0.0), ('like', 0.0), ('charge', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
34,"It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job","[('price', 0.0), ('come', 0.0), ('believe', 0.0), ('good', 0.7), ('last', 0.0), ('came', 0.0), ('worth', 0.3)]","[('good', 0.7)]","[('worth', 0.3), ('good', 0.7)]",[0.33333333333333331],Positive,Positive
35,Did not last veryery long. Worked great when it worked but it is a cheap piece of plastic crap so I should not have expected it to last.,"[('plastic', 0.0), ('piece', 0.0), ('cheap', 0.4), ('cap', 0.0), ('long', -0.05), ('last', 0.0), ('great', 0.8), ('expected', -0.1)]","[('great', 0.8)]","[('cheap', 0.4), ('great', 0.8), ('long', -0.05)]",[0.28750000000000003],Negative,Positive
36,"excellent product, works great , have easy handling, and good quality as it is announced. reached as is shown time and in veryery good condition thank you veryery much for everything","[('condition', 0.0), ('shown', 0.0), ('excellent', 1.0), ('quality', 0.0), ('much', 0.2), ('good', 0.7), ('easy', 0.43333333333333335), ('great', 0.8), ('product', 0.0)]","[('excellent', 1.0)]","[('excellent', 1.0), ('easy', 0.43333333333333335), ('great', 0.8), ('good', 0.7)]",[0.58666666666666667],Positive,Positive
37,Purchased two and we put one in each car. Now we charge our ipad and iohone together. Can also use to power my Galaxy Note 2 or recharge other USB devices. If you have to think about it you need counseling,"[('pad', 0.0), ('note', 0.0), ('think', 0.0), ('put', 0.0), ('galaxy', 0.0), ('charge', 0.0), ('purchased', 0.0), ('need', 0.0), ('use', 0.0)]","[('excellent', 0)]",[],[0.0],Positive,Negative
38,great charger for 2 devices and i have not had any problems so far 3yrs now,"[('great', 0.8), ('charge', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
39,Purchased product about many a month ago. Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%,"[('con', 0.0), ('loved', 0.7), ('piece', 0.0), ('top', 0.5), ('put', 0.0), ('clear', 0.10000000000000002), ('came', 0.0), ('overcome', 0.0), ('easily', 0.43333333333333335), ('plug', 0.0), ('total', 0.0), ('many', 0.5), ('work', 0.0), ('cool', 0.35), ('pro', 0.0), ('fine', 0.4166666666666667), ('feature', 0.0), ('purchased', 0.0), ('light', 0.4), ('product', 0.0)]","[('loved', 0.7)]","[('loved', 0.7), ('many', 0.5), ('cool', 0.35), ('fine', 0.4166666666666667), ('light', 0.4)]",[0.39444444444444443],Positive,Positive
40,"I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on.","[('recognize', 0.0), ('charge', 0.0), ('high', 0.16), ('bought', 0.0), ('tax', 0.0), ('use', 0.0)]","[('high', 0.16)]","[('high', 0.16)]",[0.080000000000000002],Negative,Negative
41,"I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it is cheap, small and compact","[('small', -0.25), ('needed', 0.0), ('cheap', 0.4), ('charge', 0.0), ('bought', 0.0), ('compact', 0.0), ('great', 0.8)]","[('great', 0.8)]","[('cheap', 0.4), ('great', 0.8), ('small', -0.25)]",[0.23750000000000004],Positive,Positive
42,Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.,"[('samson', 0.0), ('touch', 0.0), ('nice', 0.6), ('charge', 0.0), ('great', 0.8), ('light', 0.4), ('led', 0.0), ('low', 0.0)]","[('great', 0.8)]","[('nice', 0.6), ('great', 0.8), ('light', 0.4)]",[0.44999999999999996],Positive,Positive
43,"works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.","[('universal', 0.0), ('great', 0.8), ('charge', 0.0), ('well', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
44,"I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I have had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the veryery high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design veryery handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I am not sure what the problem was - faulty wiring, bad design, I guess I will never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I have not found one in my price range yet.","[('sure', 0.5), ('tight', -0.17857142857142858), ('short', 0.0), ('seem', 0.0), ('cheap', 0.4), ('tell', 0.0), ('range', 0.0), ('go', 0.0), ('really', 0.2), ('well', 0.0), ('tightly', -0.17857142857142858), ('top', 0.5), ('price', 0.0), ('notice', 0.0), ('quit', 0.0), ('solid', 0.0), ('charged', 0.0), ('made', 0.0), ('bad', -0.6999999999999998), ('forced', -0.30000000000000004), ('period', 0.0), ('design', 0.0), ('high', 0.16), ('guess', 0.0), ('pro', 0.0), ('fine', 0.4166666666666667), ('found', 0.0), ('yet', 0.0), ('led', 0.0), ('back', 0.0), ('end', 0.0), ('remove', 0.0), ('reason', 0.0), ('fit', 0.4), ('device', 0.0), ('look', 0.0), ('charge', 0.0), ('better', 0.5), ('handy', 0.6), ('give', 0.0), ('cost', 0.0), ('light', 0.4)]","[('bad', 0.6999999999999998)]","[('sure', 0.5), ('bad', -0.6999999999999998), ('fit', 0.4), ('cheap', 0.4), ('high', 0.16), ('better', 0.5), ('handy', 0.6), ('fine', 0.4166666666666667), ('light', 0.4), ('really', 0.2)]",[0.26151515151515153],Negative,Positive
45,"This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great veryalue and easy on the wallet.","[('short', 0.0), ('charge', 0.0), ('gas', 0.0), ('easy', 0.43333333333333335), ('great', 0.8), ('veryalue', 0.0)]","[('great', 0.8)]","[('easy', 0.43333333333333335), ('great', 0.8)]",[0.41111111111111115],Positive,Positive
46,"I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system","[('first', 0.25), ('electrical', 0.0), ('pulled', 0.0), ('tried', 0.0), ('felt', 0.0), ('destroy', -0.2), ('bought', 0.0), ('hazard', 0.0), ('fire', 0.0), ('test', 0.0), ('product', 0.0)]","[('first', 0.25)]","[('first', 0.25)]",[0.125],Negative,Negative
47,This portable USB Port car charger is a must have for people on the go.  Pair this with an extra or spare cord and you are good to go!,"[('spare', 0.0), ('extra', 0.0), ('charge', 0.0), ('people', 0.0), ('good', 0.7), ('go', 0.0), ('pair', 0.0)]","[('good', 0.7)]","[('good', 0.7)]",[0.34999999999999998],Positive,Positive
48,"I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!","[('love', 0.5), ('way', 0.0), ('charge', 0.0), ('better', 0.5), ('gas', 0.0)]","[('love', 0.5)]","[('better', 0.5), ('love', 0.5)]",[0.33333333333333331],Positive,Positive
49,Bought so we could charge to phones at the same time while in the car from the same port.  Works.,"[('charge', 0.0), ('bought', 0.0)]","[('love', 0)]",[],[0.0],Positive,Negative
50,I received this product before I expected. It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D). It is a good deal because It is not easy to find something like this for this price,"[('received', 0.0), ('etc', 0.0), ('price', 0.0), ('like', 0.0), ('product', 0.0), ('deal', 0.0), ('find', 0.0), ('good', 0.7), ('easy', 0.43333333333333335), ('expected', -0.1)]","[('good', 0.7)]","[('easy', 0.43333333333333335), ('good', 0.7)]",[0.37777777777777777],Positive,Positive
51,"I have several of these, from veryarious retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They are great. They really do work, and they do deliver 2.1 and 1.0 power as they say they will do. They do the job.You would not expect much QC for a $2 electrical product, but they each work just fine.They do not last forever-- about a year or two of active daily use seems about par, then they suddenly die. So do have some replacements on hand. At this price, no problem.Yes, they work with both my iPhone and iPad. Also with every other USB device I have needed to charge.The LED light that indicates you are plugged in correctly is veryery helpful.These are great for rental cars and travel. If you leave one behind, hey, it is only $2.I am totally pleased with these clever little gems. No complaints. I would not be without a couple, especially for travel.Hope this is helpful. Happy trails, all.","[('electrical', 0.0), ('much', 0.2), ('correctly', 0.0), ('happy', 0.8), ('say', 0.0), ('hand', 0.0), ('really', 0.2), ('pleased', 0.5), ('expect', 0.0), ('little', -0.1875), ('price', 0.0), ('work', 0.0), ('pad', 0.0), ('made', 0.0), ('plugged', 0.0), ('hope', 0.0), ('needed', 0.0), ('couple', 0.0), ('leave', 0.0), ('fine', 0.4166666666666667), ('daily', 0.0), ('led', 0.0), ('deliver', 0.0), ('travel', 0.0), ('device', 0.0), ('charge', 0.0), ('last', 0.0), ('great', 0.8), ('light', 0.4), ('product', 0.0), ('use', 0.0)]","[('happy', 0.8)]","[('little', -0.1875), ('happy', 0.8), ('light', 0.4), ('fine', 0.4166666666666667), ('great', 0.8), ('pleased', 0.5), ('really', 0.2)]",[0.36614583333333339],Positive,Positive
52,good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer,"[('little', -0.1875), ('free', 0.4), ('love', 0.5), ('price', 0.0), ('charge', 0.0), ('good', 0.7), ('purchased', 0.0), ('product', 0.0), ('low', 0.0)]","[('good', 0.7)]","[('little', -0.1875), ('free', 0.4), ('good', 0.7), ('love', 0.5)]",[0.28250000000000003],Positive,Positive
53,"I use this in my car to charge my phone and my iPod as needed. It works well, but the bright blue light can be annoying when driving at night. Overall, a veryery good deal.","[('night', 0.0), ('well', 0.0), ('bright', 0.7000000000000001), ('needed', 0.0), ('charge', 0.0), ('deal', 0.0), ('good', 0.7), ('overall', 0.0), ('light', 0.4), ('use', 0.0)]","[('bright', 0.7000000000000001)]","[('light', 0.4), ('bright', 0.7000000000000001), ('good', 0.7)]",[0.45000000000000001],Positive,Positive
54,I love this case! It is so pretty.And I love the way the case feels to the touch because of the rubber. Very happy!,"[('touch', 0.0), ('way', 0.0), ('happy', 0.8), ('love', 0.5)]","[('happy', 0.8)]","[('happy', 0.8), ('love', 0.5)]",[0.43333333333333335],Positive,Positive
55,The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything. It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.,"[('design', 0.0), ('paint', 0.0), ('effect', 0.0), ('cool', 0.35), ('cost', 0.0)]","[('cool', 0.35)]","[('cool', 0.35)]",[0.17499999999999999],Negative,Positive
56,"I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.  But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all would), but the design is gorgeous and a little 3D looking!","[('little', -0.1875), ('green', -0.2), ('worried', 0.0), ('design', 0.0), ('cover', 0.0), ('armor', 0.0), ('order', 0.0), ('like', 0.0), ('rubberized', 0.0), ('product', 0.0), ('pink', -0.1), ('picture', 0.0), ('came', 0.0), ('expected', -0.1)]","[('green', 0.2)]","[('little', -0.1875), ('green', -0.2)]",[-0.12916666666666668],Positive,Negative
57,Another pretty phone case that I really love. I have many as I love t o change them around .thanks,"[('many', 0.5), ('change', 0.0), ('really', 0.2), ('love', 0.5)]","[('many', 0.5)]","[('many', 0.5), ('really', 0.2), ('love', 0.5)]",[0.29999999999999999],Positive,Positive
58,"The case is not white, its more of a silver. It is still a veryery pretty case- it fit my phone perfectly. It took too long to arrive.","[('fit', 0.4), ('white', 0.0), ('arrive', 0.0), ('long', -0.05), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('perfectly', 1.0), ('fit', 0.4), ('long', -0.05)]",[0.33749999999999997],Positive,Positive
59,Defintiely worth the price...You should order several.  Most cases are $15 and up especially at the cell phone stores.  I can not believe the mark up on these things!,"[('mark', 0.0), ('price', 0.0), ('order', 0.0), ('believe', 0.0), ('worth', 0.3)]","[('worth', 0.3)]","[('worth', 0.3)]",[0.14999999999999999],Positive,Positive
60,This is a great case... It fit my phone perfectly and I still use it from time to time. Would recommend,"[('great', 0.8), ('perfectly', 1.0), ('fit', 0.4), ('use', 0.0)]","[('perfectly', 1.0)]","[('great', 0.8), ('perfectly', 1.0), ('fit', 0.4)]",[0.55000000000000004],Positive,Positive
61,"Received this item veryery quickly. The design is even more veryivid than expected. The cover is soft (rubberized) but durable. I have received many compliments. It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone.","[('received', 0.0), ('design', 0.0), ('quickly', 0.3333333333333333), ('cover', 0.0), ('look', 0.0), ('buy', 0.0), ('excellent', 1.0), ('rubberized', 0.0), ('soft', 0.1), ('many', 0.5), ('good', 0.7), ('expected', -0.1)]","[('excellent', 1.0)]","[('quickly', 0.3333333333333333), ('excellent', 1.0), ('soft', 0.1), ('good', 0.7), ('many', 0.5)]",[0.43888888888888888],Positive,Positive
62,this cover makes an old phone look and feel new. I like that I can order covers for little money and snazzy up my phone.,"[('little', -0.1875), ('old', 0.1), ('cover', 0.0), ('look', 0.0), ('order', 0.0), ('like', 0.0), ('feel', 0.0), ('new', 0.13636363636363635)]","[('little', 0.1875)]","[('little', -0.1875), ('new', 0.13636363636363635)]",[-0.017045454545454548],Positive,Negative
